hour,day,traffic,weather,available_slots
6,0,1,0,48
6,1,1,0,47
7,0,1,0,45
7,1,2,0,42
8,0,2,0,38
8,1,2,1,35
9,0,2,0,30
9,1,3,0,25
10,0,2,0,28
10,1,2,1,26
11,0,3,0,20
11,1,3,1,18
12,0,3,0,15
12,1,3,1,12
13,0,3,0,14
13,1,2,0,18
14,0,2,0,22
14,1,2,1,20
15,0,2,0,25
15,1,3,0,20
16,0,3,0,18
16,1,3,1,15
17,0,3,0,12
17,1,3,1,10
18,0,3,0,8
18,1,3,1,6
19,0,3,0,10
19,1,2,0,14
20,0,2,0,18
20,1,2,1,16
21,0,2,0,22
21,1,1,0,28
22,0,1,0,35
22,1,1,0,38
23,0,1,0,42
23,1,1,0,44
0,0,1,0,48
1,0,1,0,49
2,0,1,0,50
3,0,1,0,50
4,0,1,0,49
5,0,1,0,47
8,5,1,0,40
8,6,1,0,42
12,5,2,1,20
12,6,2,0,22
17,5,3,1,8
17,6,2,0,15
18,5,3,1,5
18,6,2,0,12
